Date,AMZN,META,BRK-B,JNJ,PG,WMT
2021-04-06,161.1909942626953,306.260009765625,263.05999755859375,151.65963745117188,127.47311401367188,134.79000854492188
2021-04-07,163.96949768066406,313.0899963378906,263.6199951171875,151.86383056640625,127.69723510742188,134.50140380859375
2021-04-08,164.96499633789062,313.0199890136719,263.510009765625,151.26979064941406,128.18284606933594,134.414794921875
2021-04-09,168.61000061035156,312.4599914550781,266.010009765625,149.67327880859375,127.35169982910156,134.4821319580078
2021-04-12,168.96949768066406,311.5400085449219,267.92999267578125,150.0352783203125,127.8653335571289,134.50140380859375
2021-04-13,170.0,309.760009765625,267.1000061035156,148.03033447265625,126.175048828125,134.08766174316406
2021-04-14,166.64999389648438,302.82000732421875,267.5299987792969,148.43875122070312,126.63262176513672,134.03958129882812
2021-04-15,168.95449829101562,307.82000732421875,269.1400146484375,148.87503051757812,128.16419982910156,134.84774780273438
2021-04-16,169.9720001220703,306.17999267578125,272.1099853515625,150.59219360351562,128.17352294921875,135.28070068359375
2021-04-19,168.60049438476562,302.239990234375,270.2799987792969,151.00990295410156,127.57585906982422,134.414794921875
2021-04-20,166.7344970703125,302.6499938964844,267.8900146484375,154.52780151367188,128.6404571533203,135.45384216308594
2021-04-21,168.1009979248047,301.4700012207031,272.2099914550781,154.62989807128906,127.79999542236328,135.84832763671875
2021-04-22,165.45199584960938,296.5199890136719,269.510009765625,153.32110595703125,126.53119659423828,134.37631225585938
2021-04-23,167.04400634765625,301.1300048828125,271.9800109863281,153.63671875,125.88268280029297,134.5976104736328
2021-04-26,170.4499969482422,303.0400085449219,270.8599853515625,152.3372039794922,123.36390686035156,132.68301391601562
2021-04-27,170.8715057373047,303.57000732421875,273.6499938964844,151.46469116210938,123.28872680664062,133.1352081298828
2021-04-28,172.9250030517578,307.1000061035156,272.95001220703125,150.35084533691406,123.4954833984375,132.66378784179688
2021-04-29,173.5655059814453,329.510009765625,277.6000061035156,152.41146850585938,124.53871154785156,134.3378143310547
2021-04-30,173.37100219726562,325.0799865722656,274.95001220703125,151.04701232910156,125.39395904541016,134.6072235107422
2021-05-03,169.32449340820312,322.5799865722656,279.17999267578125,153.34898376464844,126.87896728515625,136.73341369628906
2021-05-04,165.593505859375,318.3599853515625,280.260009765625,155.72518920898438,126.44657897949219,135.3865203857422
2021-05-05,163.52699279785156,315.0199890136719,282.760009765625,155.075439453125,125.43156433105469,135.27105712890625
2021-05-06,165.31849670410156,320.0199890136719,289.7099914550781,155.6973114013672,127.010498046875,136.2369384765625
2021-05-07,164.58050537109375,319.0799865722656,290.92999267578125,156.4027862548828,127.0198974609375,135.4159393310547
2021-05-10,159.52450561523438,305.9700012207031,292.3299865722656,158.04568481445312,129.38829040527344,136.01480102539062
2021-05-11,161.19549560546875,306.5299987792969,285.6300048828125,156.75552368164062,128.7492218017578,134.7881317138672
2021-05-12,157.5970001220703,302.54998779296875,282.9100036621094,156.12429809570312,127.38643646240234,131.30130004882812
2021-05-13,158.07350158691406,305.260009765625,286.8999938964844,157.75794982910156,129.435302734375,133.52284240722656
2021-05-14,161.14500427246094,315.94000244140625,290.67999267578125,157.99928283691406,129.70785522460938,134.75914001464844
2021-05-17,163.51950073242188,315.4599914550781,289.2200012207031,158.15708923339844,129.4447021484375,134.150634765625
2021-05-18,161.61399841308594,309.9599914550781,287.5899963378906,158.21275329589844,128.11953735351562,137.0675811767578
2021-05-19,161.58999633789062,313.5899963378906,286.2200012207031,157.8693389892578,128.3826904296875,137.07725524902344
2021-05-20,162.38400268554688,318.6099853515625,286.7300109863281,158.78826904296875,129.6984405517578,137.5601806640625
2021-05-21,160.1540069580078,316.2300109863281,287.739990234375,158.6861572265625,129.6984405517578,136.9130401611328
2021-05-24,162.24949645996094,324.6300048828125,289.7300109863281,159.29324340820312,129.66087341308594,136.92271423339844
2021-05-25,162.95249938964844,327.7900085449219,287.20001220703125,158.85427856445312,130.10260009765625,137.48291015625
2021-05-26,163.25799560546875,327.6600036621094,287.3299865722656,157.91094970703125,129.81126403808594,137.31871032714844
2021-05-27,161.5054931640625,332.75,289.29998779296875,157.66810607910156,126.86014556884766,136.85508728027344
2021-05-28,161.15350341796875,328.7300109863281,289.44000244140625,158.0790557861328,126.73794555664062,137.18350219726562
2021-06-01,160.9324951171875,329.1300048828125,289.8399963378906,154.60458374023438,124.88644409179688,136.8261260986328
2021-06-02,161.69949340820312,329.1499938964844,290.0199890136719,155.2303466796875,125.43156433105469,136.52670288085938
2021-06-03,159.35049438476562,326.0400085449219,291.9700012207031,155.08091735839844,127.67779541015625,136.7681884765625
2021-06-04,160.31100463867188,330.3500061035156,292.5199890136719,155.01553344726562,127.77177429199219,137.0096435546875
2021-06-07,159.90049743652344,336.5799865722656,289.4599914550781,153.96009826660156,128.2135009765625,136.09202575683594
2021-06-08,163.20550537109375,333.67999267578125,289.19000244140625,152.60580444335938,126.7285385131836,135.05857849121094
2021-06-09,164.0574951171875,330.25,288.5799865722656,154.66062927246094,126.6815414428711,134.3341522216797
2021-06-10,167.4824981689453,332.4599914550781,284.9100036621094,156.05227661132812,127.62141418457031,135.10687255859375
2021-06-11,167.3415069580078,331.260009765625,286.82000732421875,154.0722198486328,126.74736785888672,135.9471893310547
2021-06-14,169.19349670410156,336.7699890136719,283.5299987792969,154.4551239013672,126.7943344116211,135.763671875
2021-06-15,169.156494140625,336.75,283.94000244140625,153.6332550048828,126.54998779296875,135.22280883789062
2021-06-16,170.7624969482422,331.0799865722656,283.1099853515625,153.57716369628906,124.79247283935547,132.4700164794922
2021-06-17,174.46200561523438,336.510009765625,278.69000244140625,154.31504821777344,125.9296875,133.02056884765625
2021-06-18,174.34500122070312,329.6600036621094,274.0400085449219,151.28887939453125,124.08760070800781,130.55760192871094
2021-06-21,172.697998046875,332.2900085449219,277.1000061035156,153.02613830566406,125.0650405883789,131.74559020996094
2021-06-22,175.27200317382812,339.0299987792969,276.9200134277344,152.82064819335938,125.11201477050781,132.3541259765625
2021-06-23,175.1909942626953,340.5899963378906,274.6600036621094,151.89599609375,124.93345642089844,131.32064819335938
2021-06-24,172.45399475097656,343.17999267578125,275.489990234375,152.5871124267578,125.01805877685547,132.2382049560547
2021-06-25,170.072998046875,341.3699951171875,278.3800048828125,153.37168884277344,126.80371856689453,133.80294799804688
2021-06-28,172.1945037841797,355.6400146484375,276.6099853515625,153.19422912597656,127.1796875,133.38760375976562
2021-06-29,172.40699768066406,351.8900146484375,276.2099914550781,153.2035675048828,126.31502532958984,132.6149139404297
2021-06-30,172.00799560546875,347.7099914550781,277.9200134277344,153.86669921875,126.81312561035156,136.2079620361328
2021-07-01,171.64849853515625,354.3900146484375,280.1700134277344,155.00619506835938,127.10452270507812,134.5659637451172
2021-07-02,175.5489959716797,354.70001220703125,279.1199951171875,157.8268585205078,127.72478485107422,135.32901000976562
2021-07-06,183.78700256347656,352.7799987792969,277.32000732421875,156.883544921875,127.79996490478516,135.16481018066406
2021-07-07,184.82899475097656,350.489990234375,279.239990234375,158.22850036621094,128.75860595703125,134.9426727294922
2021-07-08,186.57049560546875,345.6499938964844,274.1000061035156,157.92027282714844,128.7398223876953,134.82675170898438
2021-07-09,185.9669952392578,350.4200134277344,280.489990234375,158.54603576660156,128.7868194580078,135.5124969482422
2021-07-12,185.92750549316406,353.1600036621094,280.1099853515625,158.2938690185547,128.8901824951172,135.27105712890625
2021-07-13,183.8679962158203,352.0899963378906,279.2099914550781,158.09771728515625,128.7304229736328,135.78297424316406
2021-07-14,184.08399963378906,347.6300048828125,278.30999755859375,159.17181396484375,129.67967224121094,136.71987915039062
2021-07-15,181.55999755859375,344.4599914550781,279.7200012207031,157.25711059570312,130.78868103027344,136.8261260986328
2021-07-16,178.68150329589844,341.1600036621094,277.8999938964844,157.00494384765625,132.0574493408203,136.72950744628906
2021-07-19,177.47950744628906,336.95001220703125,272.6600036621094,155.865478515625,131.99169921875,136.41079711914062
2021-07-20,178.6595001220703,341.6600036621094,276.8900146484375,157.3318634033203,131.28680419921875,137.0289764404297
2021-07-21,179.25999450683594,346.2300109863281,279.8800048828125,158.30319213867188,130.82627868652344,136.35284423828125
2021-07-22,181.90150451660156,351.19000244140625,277.70001220703125,158.7608642578125,130.3250274658203,136.44944763183594
2021-07-23,182.83200073242188,369.7900085449219,278.489990234375,160.4513702392578,132.2070770263672,137.56983947753906
2021-07-26,184.99099731445312,372.4599914550781,278.79998779296875,160.52610778808594,132.67051696777344,137.76303100585938
2021-07-27,181.3195037841797,367.80999755859375,280.7799987792969,161.26400756835938,133.20957946777344,137.77264404296875
2021-07-28,181.51600646972656,373.2799987792969,278.1000061035156,160.815673828125,131.2329559326172,137.21246337890625
2021-07-29,179.99600219726562,358.32000732421875,279.760009765625,160.815673828125,131.9138946533203,137.38633728027344
2021-07-30,166.37950134277344,356.29998779296875,278.2900085449219,160.83433532714844,134.51473999023438,137.6857452392578
