Date,AAPL,MSFT,AMZN,GOOGL,META,BRK-B,JNJ,V,JPM,PG,WMT,MA,UNH,HD,INTC
2021-02-16,131.0741424560547,237.3263397216797,163.44749450683594,105.53500366210938,273.9700012207031,245.27999877929688,152.26953125,203.779541015625,133.78616333007812,119.46053314208984,139.55661010742188,335.9447326660156,311.38323974609375,256.010498046875,57.57819747924805
2021-02-17,128.76144409179688,238.3610076904297,165.4320068359375,105.93099975585938,273.57000732421875,245.25,152.81375122070312,203.39730834960938,134.20240783691406,119.9648208618164,141.0320587158203,332.1246032714844,313.53192138671875,261.1513977050781,57.00674819946289
2021-02-18,127.64939880371094,237.9608154296875,166.4114990234375,105.29049682617188,269.3900146484375,243.5,152.8875274658203,205.2008514404297,134.65557861328125,120.96405029296875,131.89183044433594,333.2371826171875,315.0187072753906,263.1314697265625,56.785552978515625
2021-02-19,127.806884765625,235.208251953125,162.4949951171875,104.44049835205078,261.55999755859375,241.85000610351562,150.3415985107422,200.67237854003906,136.903076171875,118.71343231201172,132.5433349609375,328.0289306640625,311.3448791503906,259.96148681640625,58.07592010498047
2021-02-22,123.99835968017578,228.9027099609375,159.03700256347656,102.71299743652344,260.3299865722656,244.97000122070312,150.2487335205078,204.1912078857422,138.18869018554688,118.20914459228516,131.9205322265625,335.4032287597656,314.28009033203125,256.4382019042969,55.956016540527344
2021-02-23,123.86058044433594,227.6923370361328,159.72500610351562,103.00599670410156,265.8599853515625,245.52999877929688,148.9214324951172,207.90614318847656,139.29856872558594,119.08698272705078,129.7935791015625,345.0126647949219,316.0738830566406,248.43408203125,56.33391571044922
2021-02-24,123.35868835449219,228.9417266845703,157.97650146484375,104.19049835205078,264.30999755859375,248.4499969482422,150.9170684814453,215.08103942871094,141.74951171875,119.21773529052734,127.62825775146484,361.65185546875,318.6637268066406,241.67568969726562,58.2418212890625
2021-02-25,119.06794738769531,223.5146942138672,152.85800170898438,100.79750061035156,254.69000244140625,243.69000244140625,151.07484436035156,209.51361083984375,139.82574462890625,118.20914459228516,126.42107391357422,349.0986022949219,315.4599609375,237.2877960205078,55.67029571533203
2021-02-26,119.33366394042969,226.82362365722656,154.64649963378906,101.09549713134766,257.6199951171875,240.50999450683594,147.0835723876953,208.1805877685547,136.11691284179688,115.36084747314453,124.47612762451172,348.3897399902344,318.6733703613281,240.16033935546875,56.020538330078125
2021-03-01,125.75993347167969,231.27459716796875,157.3070068359375,103.48300170898438,264.9100036621094,249.2100067138672,147.8818359375,212.33656311035156,139.1968231201172,116.0705795288086,125.86538696289062,357.300048828125,321.0042419433594,243.20953369140625,57.95609664916992
2021-03-02,123.13233184814453,228.27798461914062,154.72650146484375,103.2239990234375,259.0,249.22000122070312,147.60337829589844,211.4935760498047,138.74362182617188,115.70637512207031,124.65816497802734,357.2213439941406,320.9946594238281,241.97315979003906,56.44451904296875
2021-03-03,120.12094116210938,222.11888122558594,150.25,100.57050323486328,255.41000366210938,251.5500030517578,145.00440979003906,210.59181213378906,141.4258270263672,115.01530456542969,122.2437744140625,354.6910095214844,319.2968444824219,239.24932861328125,55.20944595336914
2021-03-04,118.22159576416016,221.30874633789062,148.8784942626953,101.69650268554688,257.6400146484375,245.47999572753906,142.08055114746094,207.3082275390625,139.25230407714844,114.07210540771484,122.18628692626953,344.1068420410156,320.19854736328125,233.27182006835938,53.76239013671875
2021-03-05,119.4911117553711,226.06228637695312,150.0229949951172,104.85350036621094,264.2799987792969,253.14999389648438,144.89300537109375,211.14073181152344,139.5760498046875,117.64881896972656,123.70965576171875,355.3112487792969,332.9465637207031,235.67953491210938,55.983680725097656
2021-03-08,114.51150512695312,221.95294189453125,147.59750366210938,100.375,255.30999755859375,257.6099853515625,146.09967041015625,215.9044189453125,141.4258270263672,118.89087677001953,122.52161407470703,365.6000061035156,335.8914489746094,240.80181884765625,55.16335678100586
2021-03-09,119.16634368896484,228.19015502929688,153.1425018310547,102.01799774169922,265.739990234375,259.0199890136719,146.37811279296875,215.9926300048828,140.42694091796875,117.8355941772461,123.48928833007812,370.7099304199219,337.62762451171875,246.3144989013672,57.762535095214844
2021-03-10,118.07398223876953,226.8626708984375,152.8820037841797,101.80950164794922,264.8999938964844,263.989990234375,147.72402954101562,218.7469482421875,143.4790802001953,118.91886901855469,126.64142608642578,375.8099670410156,335.3446350097656,249.0553741455078,57.375423431396484
2021-03-11,120.02252197265625,231.46006774902344,155.67950439453125,105.0270004272461,273.8800048828125,260.9100036621094,147.71475219726562,221.6678466796875,142.72991943359375,118.51731872558594,126.59352111816406,378.4485778808594,338.70196533203125,251.49693298339844,58.3524169921875
2021-03-12,119.10730743408203,230.113037109375,154.47450256347656,102.5,268.3999938964844,260.0199890136719,148.14175415039062,219.913330078125,144.42247009277344,119.66598510742188,128.50013732910156,376.8043518066406,342.7160949707031,255.47264099121094,57.974525451660156
